Sentence Length /GLOVE,,,600,,,,,,,,110,,,,,,,,10,,,,,,,
,LOSS,LSTM,Accuracy ,,MEA,,Time,,Epoch,,Accuracy ,,MEA,,Time,,Epoch,,Accuracy ,,MEA,,Time,,Epoch,
,,,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std,Avg,Std
300,sgd/Mean Asolute Error,512,0.8804744526,0,0.1200373326,8.21E-05,04:01:26,00:46:41,100,0,0.8804744526,0,0.1200475374,7.22E-05,00:23:46,00:05:41,98.7,4.110960958,0.8804744526,0,0.1203664937,0.0001376703903,00:03:24,00:00:11,100,0
,,256,0.8804744526,0,0.1203186343,0.000118771632,01:43:50,00:11:59,100,0,0.8804744526,0,0.1203366156,0.0001301988454,00:09:09,00:00:46,100,0,0.8804744526,0,0.1206826011,0.000165452285,00:02:54,2.30E-05,100,0
,,128,0.8804744526,0,0.1208565634,0.0002511169671,01:09:44,00:02:41,100,0,0.8804744526,0,0.120877596,0.000279630339,00:06:10,00:00:36,100,0,0.8804744526,0,0.1212160251,0.0002405131997,00:02:50,3.95E-05,100,0
,,64,0.8805656935,0.0002885289649,0.1213091237,0.0006663268246,00:58:42,00:21:37,100,0,0.8805656935,0.0002885289649,0.1213946042,0.0007280681238,00:04:23,00:01:27,100,0,0.8804744526,0,0.1218015166,0.0006869281178,00:02:41,00:00:10,100,0
,,-1,0.8907846715,0.03004044162,0.1116620112,0.02491448947,00:03:40,00:08:20,85.5,31.54273996,0.8917883212,0.03321412965,0.1098866651,0.03028167441,00:00:24,00:00:26,91.1,28.14427118,0.8915145985,0.03138783384,0.1117528808,0.02408422568,00:02:12,1.12E-05,91.1,28.14427118
,Adam/Binary Crossentropy,512,0.9642335766,0.03545190425,0.04979267104,0.03497176684,00:26:50,00:05:27,11.7,1.567021236,0.9725364964,0.02642119698,0.0431958399,0.03672469792,00:02:21,00:00:23,12.3,2.057506582,0.9800182482,0.004135582107,0.02657601308,0.005044711607,00:02:12,2.25E-05,11.4,0.6992058988
,,256,0.9709854015,0.02884905105,0.04885302087,0.04797831003,00:12:00,00:00:46,11.5,0.7071067812,0.9818430657,0.003231581863,0.03035952765,0.005464326636,00:01:09,00:00:09,11.3,0.4830458915,0.982390511,0.002396701739,0.02387616012,0.003224901742,00:02:13,1.99E-05,11.8,0.9189365835
,,128,0.9796532847,0.007694707325,0.03518715833,0.01314077028,00:08:34,00:00:40,11.8,0.7888106377,0.9789233577,0.008954734062,0.03313964505,0.01491123111,00:00:59,3.87E-05,12,0.9428090416,0.9806569343,0.004318306418,0.03334415632,0.00923681864,00:02:16,1.22E-05,11.6,0.8432740427
,,64,0.977919708,0.00772769462,0.04530727207,0.01565866628,00:09:02,00:03:24,12.5,1.354006401,0.9805656934,0.005016865559,0.0458122539,0.01577717904,00:00:54,00:00:13,12.5,2.013840996,0.9736313869,0.01488373344,0.05429226956,0.0316766511,00:02:21,5.15E-05,12.2,1.316561177
,,-1,0.9740875913,0.03289792798,0.05806742041,0.02183436154,00:20:57,01:04:47,20.4,27.97300286,0.9747262774,0.03314959593,0.05568514976,0.02301083905,00:01:32,00:03:44,21.3,27.69697135,0.9420620438,0.02396412264,0.1212929289,0.007853505344,00:02:31,00:00:32,21.4,27.67750792
200,sgd/Mean Asolute Error,512,0.8804744526,0,0.1200261949,8.67E-05,03:28:48,00:37:02,100,0,0.8804744526,0,0.1200405418,7.47E-05,00:17:00,00:02:14,100,0,0.8804744526,0,0.1202417663,9.41E-05,00:04:00,00:00:09,100,0
,,256,0.8804744526,0,0.1203274232,0.0001712368942,01:27:14,00:11:57,100,0,0.8804744526,0,0.1203143518,0.0001685183062,00:07:49,00:00:56,100,0,0.8804744526,0,0.1205427212,0.0001213650144,00:03:34,3.74E-05,100,0
,,128,0.8804744526,0,0.1208124315,0.0002383946094,00:50:14,00:01:47,100,0,0.8804744526,0,0.1207626651,0.0002221582415,00:05:30,00:00:21,100,0,0.8804744526,0,0.1210501187,0.0002150822971,00:03:25,3.11E-05,100,0
,,64,0.8805656935,0.0002885289649,0.1213060986,0.0007396659658,00:41:29,00:15:31,100,0,0.8805656935,0.0002885289649,0.1211967256,0.0006563349517,00:04:31,00:01:21,100,0,0.8805656935,0.0002885289649,0.1215495629,0.0007930828451,00:03:19,00:00:11,100,0
,,-1,0.8905109489,0.02917489527,0.1132362559,0.01929297166,00:02:41,00:04:55,91.1,28.14427118,0.8912408759,0.03180456787,0.1103290614,0.02847249791,00:00:48,00:00:25,89.5,27.6294931,0.8897810219,0.02750979236,0.1124936963,0.02224454004,00:02:51,3.45E-05,86,30.84369195
,Adam/Binary Crossentropy,512,0.9553832117,0.03186166574,0.08310344179,0.04849210993,00:43:44,00:57:01,14.2,3.047767854,0.9589416058,0.03093530684,0.07392267813,0.04285363629,00:01:57,00:00:12,11.4,0.6992058988,0.9790145985,0.003494259526,0.03124009983,0.005804361848,00:02:51,1.89E-05,11.8,0.9189365835
,,256,0.9675182482,0.01635110717,0.06269988091,0.03236732034,00:10:51,00:01:55,12,1.054092553,0.9751824818,0.008090253005,0.05033554408,0.01910211519,00:01:47,00:00:14,12.2,1.032795559,0.9793795621,0.002587840315,0.03440382908,0.007723540862,00:02:54,7.93E-05,11.9,0.7378647874
,,128,0.9746350365,0.007521456173,0.04970419732,0.01404282634,00:07:41,00:01:03,12.6,1.173787791,0.9758211679,0.01072053329,0.05170359316,0.03046135105,00:01:24,8.67E-05,12.3,1.251665557,0.9781934307,0.006967973287,0.03906449679,0.01306189154,00:02:56,1.98E-05,12.7,1.159501809
,,64,0.9625,0.01508742673,0.08208843409,0.02548272908,00:08:08,00:02:40,12.1,0.994428926,0.960310219,0.0215840337,0.08882228396,0.03441930032,00:01:16,00:00:11,12.3,1.33749351,0.9626824818,0.02445395433,0.07415466403,0.03812666865,00:02:58,3.34E-05,12.8,1.475729575
,,-1,0.9692518248,0.03132470527,0.0696867143,0.0181034514,00:16:06,00:48:06,20.8,27.84800013,0.969890511,0.03151591284,0.07071410431,0.01794051885,00:01:49,00:03:14,20.8,27.85198976,0.9156934307,0.01362313155,0.1423171772,0.01073181053,00:03:06,00:00:31,21,27.80087928
100,sgd/Mean Asolute Error,512,0.8804744526,0,0.1200318376,7.96E-05,03:19:10,01:40:45,98.9,3.478505426,0.8804744526,0,0.1200146061,9.03E-05,00:10:35,00:01:21,100,0,0.8804744526,0,0.1201853361,7.84E-05,00:04:38,9.23E-05,100,0
,,256,0.8804744526,0,0.1202959058,0.0001383958849,01:24:08,00:12:42,100,0,0.8804744526,0,0.1202924707,0.0001442608002,00:06:28,00:00:39,100,0,0.8804744526,0,0.1204896387,0.000128580644,00:04:22,8.02E-05,100,0
,,128,0.8804744526,0,0.1207518758,0.0002116910288,00:45:02,00:01:27,100,0,0.8804744526,0,0.1207365633,0.0002072813177,00:06:27,00:01:37,100,0,0.8804744526,0,0.120995357,0.0002897739216,00:04:07,2.79E-05,100,0
,,64,0.8805656935,0.0002885289649,0.1211992283,0.0006691821624,00:33:29,00:11:29,100,0,0.8804744526,0,0.1212548672,0.0005634950435,00:05:27,00:01:50,95.6,13.9140217,0.8804744526,0,0.1214400753,0.0007407811429,00:04:02,00:00:11,100,0
,,-1,0.8859489051,0.01603579845,0.1225510253,0.00977147752,00:02:22,00:03:18,85.7,31.13429692,0.884580292,0.0107463867,0.1206891541,0.004120867299,00:01:15,00:00:20,91.1,28.14427118,0.8902372263,0.02991393028,0.1130379863,0.02023041447,00:03:34,1.39E-05,91.4,27.19558788
,Adam/Binary Crossentropy,512,0.926459854,0.02927364755,0.132615053,0.03472819967,00:14:24,00:02:11,12.6,1.897366596,0.9189781022,0.08271029995,0.129688326,0.09516295457,00:02:31,00:00:27,12.6,1.505545305,0.9633211679,0.02026013186,0.06343059869,0.02077535736,00:03:35,3.45E-05,12.5,1.840893503
,,256,0.952919708,0.02574293758,0.08435075724,0.03266078002,00:12:15,00:02:43,13.3,2.626785107,0.9526459854,0.02039051562,0.09436646978,0.03063839637,00:01:55,00:00:10,12.5,1.649915823,0.9550182482,0.01776556673,0.08802130441,0.02479385184,00:03:38,2.25E-05,12,0.8164965809
,,128,0.9519160584,0.02444865816,0.09996633689,0.04453798857,00:08:20,00:01:58,14.2,3.047767854,0.9408759124,0.01274327271,0.1095753765,0.01859508397,00:02:03,3.11E-04,12.4,1.173787791,0.9392335767,0.02496586311,0.0976835016,0.03142840463,00:03:41,2.73E-05,12.3,1.636391694
,,64,0.9234489051,0.0200474013,0.1536484106,0.02921012424,00:05:44,00:01:38,12,1.154700538,0.9229927007,0.02940291396,0.1515940774,0.04768312788,00:01:58,00:00:18,12.5,2.460803843,0.9221715329,0.01917289026,0.1503339041,0.02937410282,00:03:56,00:00:16,13.3,2.869378562
,,-1,0.9532846715,0.02640841546,0.09513143966,0.0113242036,00:09:43,00:26:27,21.7,27.55620519,0.9567518248,0.02834575984,0.09318706743,0.01572877392,00:02:17,00:03:10,22.7,27.33353658,0.8964416058,0.01037858,0.1651727908,0.01937094405,00:03:58,00:00:31,23.1,27.15163183
50,Adam/Binary Crossentropy,512,0.8804744526,0,0.1200302249,6.41E-05,02:32:56,00:51:04,100,0,0.8804744526,0,0.1200379012,5.38E-05,00:10:49,00:01:06,100,0,0.8804744526,0,0.1202287683,9.84E-05,00:05:21,8.71E-05,100,0
,,256,0.8804744526,0,0.1203162567,0.000145772671,01:36:14,00:51:28,100,0,0.8804744526,0,0.1203214654,0.0001265286913,00:09:05,00:01:56,100,0,0.8804744526,0,0.1205149668,0.0001578419916,00:05:03,7.47E-05,100,0
,,128,0.8804744526,0,0.1207781533,0.0002434000734,01:42:53,03:08:17,100,0,0.8804744526,0,0.1207578054,0.0002009678347,00:05:53,00:00:10,100,0,0.8804744526,0,0.1210270469,0.0002765592275,00:04:47,2.66E-05,100,0
,,64,0.8804744526,0,0.1213132848,0.000634076603,00:32:37,00:10:58,100,0,0.8804744526,0,0.1212213416,0.0005721805832,00:05:22,00:01:19,100,0,0.8804744526,0,0.1214535893,0.0006376673651,00:04:43,00:00:11,100,0
,,-1,0.8804744526,0,0.1347571262,0.04801889448,00:02:51,00:02:54,91.1,28.14427118,0.8839416059,0.0103298928,0.1236373485,0.01302096086,00:01:49,00:00:25,91.2,27.82804341,0.8875912409,0.02186737542,0.1164921683,0.01064310444,00:04:14,5.16E-05,85.8,30.76000289
,sgd/Mean Asolute Error,512,0.886040146,0.008040364012,0.1669806678,0.03554398394,00:12:09,00:03:20,13.4,3.565264522,0.8927919708,0.0167592598,0.1696104762,0.02187586086,00:02:52,00:00:21,14.4,3.438345856,0.9372262774,0.02635933309,0.1141476808,0.03954118774,00:04:13,3.34E-05,12.8,2.201009869
,,256,0.9136861314,0.02673009907,0.1369527847,0.03733999683,00:12:28,00:07:46,15.4,6.619835513,0.9107664234,0.021594959,0.151283233,0.02966690263,00:02:17,6.99E-05,12.3,1.251665557,0.9258211679,0.02827992923,0.1277269504,0.0424238345,00:04:20,5.77E-05,12.7,2.71006355
,,128,0.9175182481,0.02470140649,0.136037132,0.03306513051,00:04:00,00:00:37,13.8,2.699794231,0.9080291971,0.02545604085,0.1427642452,0.02444518123,00:02:12,5.77E-05,13.4,2.065591118,0.9092153285,0.02258506068,0.165585534,0.04518135173,00:04:20,2.13E-05,12.4,2.011080417
,,64,0.908120438,0.01890568292,0.1547415789,0.02069121618,00:03:06,00:01:08,13.9,2.378141198,0.9044708029,0.02146715101,0.1642289302,0.02971562335,00:02:29,00:00:32,13.8,2.347575582,0.897810219,0.016911726,0.1744967261,0.01814670637,00:04:24,3.45E-05,14.9,3.928528138
,,-1,0.9251824817,0.01627626295,0.1295858012,0.006401055675,00:02:57,00:08:40,20.9,27.80667386,0.9343978102,0.02074579347,0.1256006603,0.01292402449,00:01:58,00:00:31,23.2,27.25924919,0.8873682076,0.00362420172,0.1872594077,0.007200901405,00:04:25,2.30E-05,15.66666667,4.330127019